article_id,prod_key,level1_id,level2_id,source_id,title,url,strategy,original_grade,coherence,factuality,is_suspect,tier,is_valid,level3_priority_final
0,0,0_adaptive,0_adaptive,0c862e6732c5a41a,Article synthétique ID 0,synthetic://article_0,adaptive,A,0.76,0.9026752710342408,False,GOOD,True,0.7
0,0,0_confidence_weighted,0_confidence_weighted,0c862e6732c5a41a,Article synthétique ID 0,synthetic://article_0,confidence_weighted,B+,0.6742194616977225,0.9025899767875672,True,MODERATE,False,0.75
1,1,1_adaptive,1_adaptive,89580b321df35a6a,"Almost a third of people in Gaza not eating for days, UN food programme warns",https://www.bbc.com/news/articles/ckgjg81qqwvo,adaptive,A,0.78,1.0,False,GOOD,True,0.7
1,1,1_confidence_weighted,1_confidence_weighted,89580b321df35a6a,"Almost a third of people in Gaza not eating for days, UN food programme warns",https://www.bbc.com/news/articles/ckgjg81qqwvo,confidence_weighted,B+,0.6844615384615385,0.9747263193130492,True,MODERATE,False,0.75
2,2,2_adaptive,2_adaptive,36e1a50865a65b52,"'I witnessed war crimes' in Gaza, former worker at GHF aid site tells BBC",https://www.bbc.com/news/videos/cy8k8045nx9o,adaptive,A+,0.956,1.0,False,EXCELLENT,True,0.7
2,2,2_confidence_weighted,2_confidence_weighted,36e1a50865a65b52,"'I witnessed war crimes' in Gaza, former worker at GHF aid site tells BBC",https://www.bbc.com/news/videos/cy8k8045nx9o,confidence_weighted,B+,0.6843982683982685,0.924626648426056,True,MODERATE,False,0.75
3,3,3_adaptive,3_adaptive,0a555c36f5fbedf6,Thailand warns clashes with Cambodia could 'move towards war',https://www.bbc.com/news/articles/ckg5gz03d8no,adaptive,A,0.876,0.9034748077392578,False,EXCELLENT,True,0.7
3,3,3_confidence_weighted,3_confidence_weighted,0a555c36f5fbedf6,Thailand warns clashes with Cambodia could 'move towards war',https://www.bbc.com/news/articles/ckg5gz03d8no,confidence_weighted,B+,0.6408878923766815,0.8401363492012024,True,MODERATE,False,0.75
4,4,4_adaptive,4_adaptive,72687c4664f0425b,School-leavers losing their lives for Russia in Putin's war with Ukraine,https://www.bbc.com/news/articles/ce9xkg7dmd5o,adaptive,A+,0.936,0.9999998807907104,False,GOOD,True,0.7
4,4,4_confidence_weighted,4_confidence_weighted,72687c4664f0425b,School-leavers losing their lives for Russia in Putin's war with Ukraine,https://www.bbc.com/news/articles/ce9xkg7dmd5o,confidence_weighted,B+,0.6840434782608695,0.949759304523468,True,MODERATE,False,0.75
